Well,Sample.Name,Target Name,Amp Score,Amp Status,Task,Cq,Cq Mean,Cq Standard Deviation,Quantity,Quantity Mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit,Tm1
C6,17,ACTIN,0,No Amp,UNKNOWN,Undetermined,-,-,0,0,-,36.5667,0.9988,-3.584,90.11565,TRUE,0.14,TRUE,3,39,TRUE,83.02663422
D6,17,ACTIN,1.492,Amp,UNKNOWN,33.5,33.5,-,7.172,7.172,-,36.5667,0.9988,-3.584,90.11565,TRUE,0.14,TRUE,3,28,FALSE,79.44314575
E4,18,ACTIN,1.441,Amp,UNKNOWN,16.87,17.017,0.208,313121.38,286158.44,38131.316,36.5667,0.9988,-3.584,90.11565,TRUE,0.15,TRUE,3,12,FALSE,79.10547638
F4,18,ACTIN,1.415,Amp,UNKNOWN,17.164,17.017,0.208,259195.55,286158.44,38131.316,36.5667,0.9988,-3.584,90.11565,TRUE,0.15,TRUE,3,12,FALSE,79.15541077
G6,18,ACTIN,0,No Amp,NTC,Undetermined,-,-,-,0,-,36.5667,0.9988,-3.584,90.11565,TRUE,0.15,TRUE,3,39,TRUE,89.18907928
C2,19,ACTIN,1.171,Amp,UNKNOWN,23.585,20.594,4.231,4187.958,99945.16,135421.12,36.5667,0.9988,-3.584,90.11565,TRUE,0.14,TRUE,3,18,FALSE,78.69854736
D2,19,ACTIN,1.448,Amp,UNKNOWN,17.602,20.594,4.231,195702.36,99945.16,135421.12,36.5667,0.9988,-3.584,90.11565,TRUE,0.14,TRUE,3,13,FALSE,79.29573059
C3,20,ACTIN,1.243,Amp,UNKNOWN,21.344,19.36,2.806,17676.277,121955.93,147473.7,36.5667,0.9988,-3.584,90.11565,TRUE,0.14,TRUE,3,16,FALSE,78.69956207
D3,20,ACTIN,1.466,Amp,UNKNOWN,17.376,19.36,2.806,226235.58,121955.93,147473.7,36.5667,0.9988,-3.584,90.11565,TRUE,0.14,TRUE,3,12,FALSE,79.29677582
E2,21,ACTIN,1.38,Amp,UNKNOWN,17.019,17.007,0.017,284483.47,286709.84,3148.548,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,12,FALSE,79.16295624
F2,21,ACTIN,1.381,Amp,UNKNOWN,16.995,17.007,0.017,288936.2,286709.84,3148.548,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,12,FALSE,79.16295624
